,edge,delta,c_s,c_sTwoSequence,p_value,result_test,result_test_tip2tip,category_rate,branch_length
97,"(Node43*, Node42*)",2.972977387759259,0.16531175795585087,0.16531400956524986,1.3057452540706312e-192,Informative,InfoT2T,p2,0.00542684071431
98,"(Node44*, Node42*)",2.9854410499981014,0.16493947236420356,0.16531400956524986,4.472921909882391e-195,Informative,InfoT2T,p2,0.00348370015158
99,"(Node46*, Node45*)",2.963680180773295,0.16513004260430075,0.16531400956524986,7.717959274770676e-192,Informative,InfoT2T,p2,0.00660363861357
100,"(Node47*, Node45*)",2.973118948844134,0.16512952854530846,0.16531400956524986,4.760057786903532e-193,Informative,InfoT2T,p2,0.00304522941636
101,"(t100000, Node54*)",2.9999501458564577,0.16531126296827617,0.16531400956524986,4.439099364989626e-196,Informative,InfoT2T,p2,0.0045169475115599995
102,"(t100001, Node54*)",2.9999630712445264,0.16531197494723285,0.16531400956524986,4.439092890865172e-196,Informative,InfoT2T,p2,0.00609508778346
103,"(t100010, Node55*)",2.9649598682107996,0.16499943151148272,0.16531400956524986,2.6517342986886302e-192,Informative,InfoT2T,p2,0.00385435621233
104,"(t100011, Node55*)",2.9618116208960186,0.16495067965922983,0.16531400956524986,5.1832228284771455e-192,Informative,InfoT2T,p2,0.00645632113743
105,"(t100100, Node57*)",2.986513677113441,0.16531299610781122,0.16531400956524986,2.4128024541552005e-194,Informative,InfoT2T,p2,0.00503784008379
106,"(t100101, Node57*)",2.9940873951513867,0.1651293837693774,0.16531400956524986,9.514195456295576e-196,Informative,InfoT2T,p2,0.00350772934428
107,"(t100110, Node58*)",2.982286430082339,0.16515265821069786,0.16531400956524986,3.578516446446416e-194,Informative,InfoT2T,p2,0.00401840152308
108,"(t100111, Node58*)",2.9810284404561465,0.16513357027477604,0.16531400956524986,4.6899443660008866e-194,Informative,InfoT2T,p2,0.0060549207687900005
109,"(t010000, Node24*)",2.999926386508409,0.16530995552348823,0.16531400956524986,4.439142630205003e-196,Informative,InfoT2T,p2,0.0043384644349199995
110,"(t010001, Node24*)",2.999926203135371,0.16530994543076818,0.16531400956524986,4.439142917424042e-196,Informative,InfoT2T,p2,0.0043276929345
111,"(t010010, Node25*)",2.967119313393559,0.1647618201991416,0.16531400956524986,3.9608906053829764e-193,Informative,InfoT2T,p2,0.0027579908389500003
112,"(t010011, Node25*)",2.9685990092520718,0.16481990377823938,0.16531400956524986,3.4837447021784126e-193,Informative,InfoT2T,p2,0.00437425009344
113,"(t010100, Node27*)",2.999987603855513,0.16531332647980057,0.16531400956524986,4.439085013768302e-196,Informative,InfoT2T,p2,0.0034987761634500004
114,"(t010101, Node27*)",2.9999782581684733,0.16531281148880186,0.16531400956524986,4.439085013772345e-196,Informative,InfoT2T,p2,0.0019958269806
115,"(t010110, Node28*)",2.999978253930221,0.1653128112552547,0.16531400956524986,4.4390850137809345e-196,Informative,InfoT2T,p2,0.0037827118686600005
116,"(t010111, Node28*)",2.99998067878852,0.1653129448762706,0.16531400956524986,4.439085013778409e-196,Informative,InfoT2T,p2,0.00425678262687
117,"(t111000, Node43*)",2.9885329204485944,0.16494840225170498,0.16531400956524986,1.871403205460658e-195,Informative,InfoT2T,p2,0.00866772480798
118,"(t111001, Node43*)",2.983351130321745,0.16495695442448152,0.16531400956524986,9.142497993205664e-195,Informative,InfoT2T,p2,0.00399810558123
119,"(t111010, Node44*)",2.999929142713778,0.16531010983521724,0.16531400956524986,4.439200883315936e-196,Informative,InfoT2T,p2,0.00641267513604
120,"(t111011, Node44*)",2.9999032501299374,0.16530868721053332,0.16531400956524986,4.439300954487124e-196,Informative,InfoT2T,p2,0.00469700005662
121,"(t111100, Node46*)",2.978430945264855,0.16477031251036667,0.16531400956524986,1.4469494780502484e-194,Informative,InfoT2T,p2,0.00555083654895
122,"(t111101, Node46*)",2.9668180626751792,0.16512438049415223,0.16531400956524986,2.972203004219388e-192,Informative,InfoT2T,p2,0.00452146506165
123,"(t111110, Node47*)",2.986492761913475,0.1649420704234766,0.16531400956524986,3.3180151835019892e-195,Informative,InfoT2T,p2,0.00502540264827
124,"(t111111, Node47*)",2.978111846525132,0.16513699548369887,0.16531400956524986,1.1323501992629748e-193,Informative,InfoT2T,p2,0.0035003495466
