,edge,delta,c_s,c_sTwoSequence,p_value,result_test,result_test_tip2tip,category_rate,branch_length
112,"(t110011, Node45*)",2.9999701463496815,0.17086816876620836,0.170869868890202,1.0939800679555533e-183,Informative,InfoT2T,p2,0.00282391655192
113,"(t110100, Node47*)",2.992351783391774,0.17065763341076576,0.170869868890202,3.261124162737171e-183,Informative,InfoT2T,p2,0.00619436459277
114,"(t110101, Node47*)",2.9917446256542277,0.17065918093697435,0.170869868890202,3.8906827754180676e-183,Informative,InfoT2T,p2,0.00525863796525
115,"(t110110, Node48*)",2.96468463314898,0.17025486984362986,0.170869868890202,1.0027718926355731e-180,Informative,InfoT2T,p2,0.00281832326625
116,"(t110111, Node48*)",2.9661491302552228,0.17030726084147235,0.170869868890202,8.605464066491876e-181,Informative,InfoT2T,p2,0.00427751146387
117,"(t011000, Node18*)",2.9999436989265287,0.17086666401505837,0.170869868890202,1.0939886472061254e-183,Informative,InfoT2T,p2,0.00283204834761
118,"(t011001, Node18*)",2.9999721260435344,0.1708682817361473,0.170869868890202,1.0939812080681804e-183,Informative,InfoT2T,p2,0.005716525809469999
119,"(t011010, Node19*)",2.9999506005254224,0.1708670564975485,0.170869868890202,1.0939853899188562e-183,Informative,InfoT2T,p2,0.005538486962559999
120,"(t011011, Node19*)",2.9999446926476168,0.1708667203174474,0.170869868890202,1.093987061493805e-183,Informative,InfoT2T,p2,0.0049475741816499995
121,"(t011100, Node21*)",2.9999631434014127,0.1708677696628169,0.170869868890202,1.0939787896754238e-183,Informative,InfoT2T,p2,0.008658073926299999
122,"(t011101, Node21*)",2.999944410025302,0.17086670267298237,0.170869868890202,1.0939787897044993e-183,Informative,InfoT2T,p2,0.00574589807666
123,"(t011110, Node22*)",2.9999874821526715,0.17086915591589547,0.170869868890202,1.0939787896738674e-183,Informative,InfoT2T,p2,0.00816821271742
124,"(t011111, Node22*)",2.9999689484814125,0.17086810030059027,0.170869868890202,1.0939787897852507e-183,Informative,InfoT2T,p2,0.00329818175349
